HGNC,BaseMean,log2FC,StdErr,Wald-Stats,P-value,P-adj
HSPA6,541.88342743207,2.93466090047676,0.147730511804835,19.8649613043628,8.18151490728403E-88,5.53929466797665E-84
ALOXE3,125.097152671999,2.21622771022733,0.186219302831436,11.9011706978274,1.16698451616889E-32,5.26737911114767E-29
ISG15,550.877860092287,1.37456420199128,0.147047903563765,9.3477306964476,8.9548336733826E-21,2.42514805542548E-17
SGK1,740.363958967678,-1.37466540356145,0.146733068671056,-9.36847716749626,7.3586525353431E-21,2.42514805542548E-17
PPM1D,345.548343768512,-1.42859358654634,0.160489371591269,-8.90148408197803,5.51048652703184E-19,1.24362496770897E-15
HSPB1,4600.1527871532,1.18415751359222,0.133739943312467,8.85417986775712,8.43013506766349E-19,1.63074941358902E-15
DISP2,166.366001142877,1.49398807442438,0.172334273979127,8.66912912869167,4.35437919939679E-18,7.370331092379E-15
TGIF1,550.913342183333,-1.20821427693106,0.140054896157015,-8.62671930852413,6.31368731105876E-18,9.49929331989408E-15
ADM,1195.93856464693,-1.10470900684199,0.133028168806674,-8.30432393944652,1.00389406030801E-16,1.35937294706308E-13
RASD1,674.903480665767,-0.964259358811224,0.116597127821882,-8.27000953474827,1.33948301056401E-16,1.52616622290905E-13
SOX17,1343.40764030086,-1.19969395307202,0.145085812567482,-8.26885780106189,1.35248465216074E-16,1.52616622290905E-13
FRMD6,402.272100235424,-1.08080774992982,0.134352736134585,-8.04455332303123,8.65605643112022E-16,9.01628154875376E-13
NOP53,1833.37511252562,0.798823825739773,0.100424915271538,7.95443863288152,1.79945537683519E-15,1.74045894698037E-12
HEY1,201.166509782613,-1.3768220968353,0.17643630651648,-7.80350781547729,6.0209674720004E-15,5.43532803589049E-12
FDXR,2707.43509484273,0.71975369833868,0.09448122135413,7.61795506051867,2.57725987504836E-14,2.18116724800186E-11
,3046.52948452713,0.783862980376322,0.103024679438678,7.60849715473167,2.77301359597401E-14,2.20878688841671E-11
PBXIP1,1636.62430087779,0.772765314268597,0.102254745404259,7.55725625459739,4.11660460675919E-14,3.09683016556256E-11
CHSY1,606.895243907904,-0.823709802514576,0.110754609167713,-7.43725077181443,1.02802285991142E-13,6.96022877303028E-11
ADNP,458.550748385396,-1.06741320829129,0.143455558016234,-7.44072396393658,1.00134991561346E-13,6.96022877303028E-11
ARRDC3,119.084607319832,-1.62205451937785,0.218730001700861,-7.41578433120574,1.20907113650546E-13,7.79620583781923E-11
CHAC1,71.6558014063987,1.53713786787603,0.207808829095117,7.39688431222746,1.39416908661133E-13,8.55029849392265E-11
CXCR4,198.297568511893,-1.36056995575893,0.184073359014583,-7.39145503207307,1.45230681161082E-13,8.55029849392265E-11
RTN4R,1386.8327088697,0.822270641388723,0.111375083532103,7.3828958444885,1.54883192071794E-13,8.73863876601737E-11
AURKA,1327.32343262892,-0.935805094589122,0.127604398253667,-7.33364294174892,2.23979346189467E-13,1.21316173070063E-10
SH3BP5L,2934.26547263244,0.659723360518357,0.090692076576681,7.27432191896671,3.48164826686697E-13,1.81326919929406E-10
MCOLN1,1170.85668335763,0.810232561117033,0.11181661767927,7.24608361380661,4.2899533576113E-13,2.15149105242276E-10
ID2,542.031565206231,-1.18634910410935,0.165913155849367,-7.15042214727352,8.65114362941007E-13,4.18375485306578E-10
TSHZ3,142.979024939731,-1.25022927270732,0.177166203197684,-7.05681586071072,1.70361133369064E-12,7.95469002396721E-10
YTHDF2,314.789044714892,-1.16845277370566,0.166939998028123,-6.99923797476518,2.57358405805918E-12,1.13331661317329E-09
MSC,524.921723311681,-0.983942233733965,0.140601320074262,-6.9981009652987,2.59455099389793E-12,1.13331661317329E-09
ERRFI1,860.628115418772,-0.907942426739367,0.132477143838951,-6.85357791109331,7.20253949471755E-12,2.97992108880585E-09
HJURP,470.032865593016,-1.0598190900774,0.154663962471537,-6.85239840711072,7.26219599221571E-12,2.97992108880585E-09
DPM3,1046.74997686436,0.775942675190658,0.114085550634472,6.80141061576467,1.03599670256106E-11,4.12600922040567E-09
CITED2,221.177701986113,-1.16173071850609,0.171735324129838,-6.76465790828087,1.33624549136004E-11,5.16974291385894E-09
DUSP1,136.194871677976,-1.34130021395696,0.199574056479312,-6.72081450674927,1.80711525970656E-11,6.79726325880181E-09
P4HA2,2820.80132433497,0.805025377343775,0.120535176477335,6.67875885588593,2.40974291869903E-11,8.81900780056854E-09
EIF4EBP1,2469.08661465716,0.700264736750344,0.105182067035003,6.65764380269599,2.7825211498372E-11,9.91529444472251E-09
GPATCH2,190.024999140387,-1.08213797042155,0.16280952512802,-6.64665024709485,2.99838366210407E-11,1.04105418380901E-08
KLF4,235.443216867899,-1.29142604155518,0.195022510814288,-6.62193321254564,3.54531245723462E-11,1.20017689958535E-08
B3GNT2,442.080806218793,-1.13686812417035,0.172868633116163,-6.57648587645399,4.8169673077597E-11,1.59089156864327E-08
DNASE2,1673.76732213964,0.692483028052303,0.105510566830359,6.56316280781319,5.26782761731922E-11,1.69837270871713E-08
MSX2,1942.68243526778,-0.891708832191322,0.135942171414153,-6.55947174386894,5.39987239528883E-11,1.70045749080479E-08
TIPARP,91.782478620357,-1.4896950436266,0.227793405428107,-6.539675899866,6.16522913749389E-11,1.89734926706374E-08
PUM1,418.363283607112,-0.795528324446951,0.122155154691518,-6.51244170952854,7.39389107600816E-11,2.22490397911614E-08
PRAMEF12,79.6984489789854,1.34871149270717,0.207527994620343,6.49893762609972,8.08891879667225E-11,2.38113150925519E-08
PLK1,2966.5548106057,-0.581528488423977,0.090054618409904,-6.45750877292064,1.06440583720843E-10,3.06662115779562E-08
CCNL1,565.543419282589,-0.984674634343892,0.152866852033992,-6.44138752935749,1.18386162052498E-10,3.33972295906849E-08
DDRGK1,3538.51337796512,0.643078489718151,0.100137973910269,6.42192431708674,1.34562324557201E-10,3.71858864658993E-08
ENC1,747.407111925144,-0.982283044161833,0.153039320257972,-6.41850109178503,1.3762262077423E-10,3.7270958158077E-08
PRDM1,81.7546893713705,-1.30411311907549,0.203391322910208,-6.41184245431758,1.43771372589539E-10,3.81727089457833E-08
,553.74056112157,-0.933541872287344,0.145687345755013,-6.40784460345088,1.47591222305632E-10,3.84333219469339E-08
REEP2,928.889302918725,0.779483349293684,0.12206350599021,6.38588366744277,1.70410515839215E-10,4.35382791505435E-08
BHLHE41,36.4611104997087,-1.52288419570438,0.239569216950422,-6.35676075202743,2.0605253428674E-10,5.14583850937012E-08
KBTBD2,405.899948185548,-0.911795308805127,0.143486548060658,-6.35456996581776,2.09010499974416E-10,5.14583850937012E-08
MCL1,1118.32738902571,-0.968981219499538,0.153210475884509,-6.32451021319171,2.54037051055547E-10,6.11389019885075E-08
HYAL3,225.490465292595,0.960088770449286,0.151852645406869,6.32250276494595,2.57360417498333E-10,6.11389019885075E-08
MYH14,542.680353488228,0.738464655000095,0.117038442229552,6.30959060059697,2.79774549146788E-10,6.53177098275284E-08
PPP4R3A,691.317859152745,-0.807021287260011,0.128523677042909,-6.2791643207545,3.40397681005622E-10,7.81241525169004E-08
ZBTB2,440.643560987947,-0.928738589848582,0.14811025652448,-6.27058930044509,3.59684191600434E-10,8.00433795403247E-08
NCOA2,1096.7295115972,-0.777164182942479,0.123945657576285,-6.27020097468243,3.60582390662418E-10,8.00433795403247E-08
CLSTN3,704.410594984198,0.763489851740203,0.121999863612241,6.25812053501015,3.89644626783681E-10,8.46560081937668E-08
PLK2,203.083449045668,-1.0442637573778,0.16691022381534,-6.25643974052253,3.93865188406123E-10,8.46560081937668E-08
TET1,452.35751397184,-0.835000157630616,0.134070041838721,-6.22808903599115,4.72158730620535E-10,9.8361559558964E-08
WAPL,355.174457840901,-0.981321311803478,0.157517397663673,-6.22992333773042,4.66663477606182E-10,9.8361559558964E-08
WASL,1965.41446284081,-0.661064707972615,0.107060724980388,-6.17467057217962,6.63015670220224E-10,1.36028715006849E-07
FNDC3B,1138.80192153812,-0.64153063031011,0.104361295421932,-6.14720838521988,7.88584984951245E-10,1.59376556436191E-07
FILIP1,468.595998522935,-0.767237081368782,0.126187976848823,-6.08011238890021,1.20098337693151E-09,2.3915464569161E-07
IFITM1,490.217466675434,0.792620840843012,0.13066100601897,6.06623862002053,1.30940546414025E-09,2.56966078114827E-07
DUSP16,903.437090526774,-0.928124959129625,0.153245655797123,-6.0564520038228,1.39156635194302E-09,2.6918857102372E-07
SOWAHC,139.960219074612,-1.05767691842122,0.174757763684211,-6.05224566922502,1.42840407780041E-09,2.72422811514019E-07
DLC1,573.186761368931,-0.939040552867578,0.155440012893697,-6.04117649880646,1.52994504872353E-09,2.87735915343962E-07
FAM84B,623.171154256814,-0.986359603639065,0.163526922277445,-6.03178724274878,1.62156179111053E-09,3.00788605663393E-07
ZNF608,113.995254660148,-1.21745639828963,0.202660245318582,-6.00737651519067,1.88549308965108E-09,3.45019755769802E-07
